                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
65,1.1856,0.90379,1.278,1.2755,1.1066,1.2881,0.86334,0.76855,0.86124,0.58568,1.1535,0.73834,1.2499,1.2217,0.80252,1.271,0.0007526,0.0007526,0.0007526
66,1.1845,0.90985,1.2839,1.2791,1.1133,1.2915,0.87317,0.76016,0.85535,0.58612,1.1477,0.74258,1.2515,1.2099,0.82347,1.2652,0.0007328,0.0007328,0.0007328
67,1.1643,0.88246,1.2619,1.2621,1.0737,1.2723,0.86335,0.77577,0.86476,0.59046,1.1399,0.72955,1.2456,1.1991,0.80338,1.2524,0.000713,0.000713,0.000713
68,1.164,0.88407,1.2636,1.2545,1.0797,1.2751,0.8564,0.77869,0.86042,0.58902,1.1461,0.73104,1.2532,1.2105,0.80795,1.2635,0.0006932,0.0006932,0.0006932
69,1.1557,0.87468,1.2623,1.2479,1.0638,1.2753,0.86195,0.78432,0.87145,0.60058,1.1225,0.70771,1.2277,1.1917,0.77589,1.2465,0.0006734,0.0006734,0.0006734
70,1.1581,0.87098,1.2645,1.2484,1.0668,1.2762,0.87732,0.78221,0.87506,0.6045,1.116,0.70177,1.2277,1.1794,0.76756,1.2431,0.0006536,0.0006536,0.0006536
71,1.1486,0.86465,1.2621,1.2392,1.0637,1.2745,0.88963,0.77493,0.87513,0.60348,1.1317,0.70323,1.2321,1.1888,0.76956,1.2471,0.0006338,0.0006338,0.0006338
72,1.1389,0.85092,1.2499,1.2302,1.043,1.2611,0.88119,0.78283,0.87757,0.60836,1.1074,0.69636,1.2245,1.1765,0.76303,1.2381,0.000614,0.000614,0.000614
73,1.1251,0.84718,1.2429,1.2189,1.0266,1.258,0.88574,0.78366,0.87947,0.61087,1.1052,0.68982,1.2216,1.1713,0.74886,1.2344,0.0005942,0.0005942,0.0005942
74,1.1249,0.83442,1.2382,1.2198,1.0098,1.2508,0.88026,0.78869,0.88028,0.61199,1.0987,0.6829,1.211,1.1664,0.74411,1.2277,0.0005744,0.0005744,0.0005744
75,1.1201,0.82631,1.2338,1.2204,1.0054,1.2508,0.88661,0.78074,0.88132,0.61518,1.0967,0.67992,1.2125,1.1635,0.73042,1.234,0.0005546,0.0005546,0.0005546
76,1.1188,0.83372,1.2352,1.2148,1.0206,1.2497,0.88125,0.7851,0.88287,0.61412,1.0975,0.67968,1.2132,1.1716,0.73019,1.2396,0.0005348,0.0005348,0.0005348
77,1.1004,0.80953,1.2217,1.1928,0.9743,1.2402,0.88549,0.78964,0.88449,0.61509,1.0907,0.67036,1.2085,1.1618,0.72873,1.2363,0.000515,0.000515,0.000515
78,1.1055,0.80887,1.2252,1.2029,0.97865,1.2433,0.89312,0.79138,0.8865,0.62229,1.0818,0.66566,1.2014,1.1497,0.72488,1.225,0.0004952,0.0004952,0.0004952
79,1.1027,0.81593,1.2276,1.2009,0.98636,1.2439,0.87336,0.81168,0.88835,0.62268,1.0787,0.6591,1.201,1.1471,0.71571,1.2171,0.0004754,0.0004754,0.0004754
80,1.0986,0.81019,1.2284,1.1953,0.99016,1.2441,0.89156,0.79931,0.88926,0.62553,1.0697,0.6543,1.194,1.1412,0.70758,1.2129,0.0004556,0.0004556,0.0004556
81,1.0998,0.80682,1.2264,1.1968,0.98234,1.2423,0.89661,0.79497,0.88742,0.62589,1.074,0.65841,1.1956,1.1392,0.71661,1.2126,0.0004358,0.0004358,0.0004358
